date,t,LASTOBSERVED,LASTDAY,SimpleExpSmoothing,ExpSmoothing,ARIMA,SARIMA,Prophet
1970-01-07 23:45:00,97735,109321.25,96740.0,108789.58297837226,108763.69213955218,109449.86199706631,104288.29903045924,105624.33702949873
1970-01-08 00:00:00,114046,105686.25,112339.0,107201.65996314476,126160.03915141925,110778.40387267302,119113.8762969018,105736.52916052323
1970-01-08 00:15:00,114821,104058.75,116833.0,105593.7527903002,120619.16564433275,106425.57142865712,117126.40392001987,106060.39972876856
1970-01-08 00:30:00,112353,107111.75,110580.0,106369.95383296067,113922.92085602673,106145.93309574462,111285.33356917065,106669.42934926406
1970-01-08 00:45:00,105706,109738.75,104848.0,108092.86006321844,102191.6251762877,107582.55256186744,104646.64271715232,107575.0972750352
1970-01-08 01:00:00,112329,111731.5,112057.0,109954.3266309405,103950.76820887411,111931.64928376838,110879.13431016104,108724.06353140732
1970-01-08 01:15:00,110314,111302.25,111617.0,110643.80510774197,105071.2059856244,112083.2672156396,110342.62593748533,110007.21892996853
1970-01-08 01:30:00,113568,110175.5,117228.0,110404.26159972372,109218.20090782181,110239.72156474172,115271.7492732718,111398.69847368525
1970-01-08 01:45:00,105525,110479.25,104846.0,110437.7453702068,99958.17075084193,109241.4601652874,103767.46899666775,112870.26079557397
1970-01-08 02:00:00,115663,110434.0,116218.0,110433.33663183196,112518.45937027095,110873.65236217975,115223.27132322176,114419.22370969184
1970-01-08 02:15:00,111489,111267.5,108622.0,110857.52795626072,107138.20330181133,111486.28568288976,108150.1248532708,116004.5494383125
1970-01-08 02:30:00,105935,111561.25,109925.0,111214.99702648458,111064.15239476215,111439.28170031,110366.46847043488,117585.52097011376
1970-01-08 02:45:00,102862,109653.0,100658.0,110418.39811493475,105086.07142090809,108566.37713477462,102713.73774637416,119007.09364054992
1970-01-08 03:00:00,133466,108987.25,128987.0,109686.34921288848,131245.11629302206,110504.35413408453,127131.62291242584,120248.65769937597
1970-01-08 03:15:00,149205,113438.0,149569.0,111549.46744795793,162439.27135173907,113817.78881404884,146341.9254287765,121469.1747037372
1970-01-08 03:30:00,138660,122867.0,139164.0,117426.60199452488,169575.4069501464,116762.19459639076,136666.12150548748,122765.74399768078
1970-01-08 03:45:00,123512,131048.25,123685.0,124491.76752688608,125502.51741204722,118325.8914860596,125304.94708606203,124148.55740771069
1970-01-08 04:00:00,121676,136210.75,126715.0,130551.2404208562,138025.9261074784,127206.30863354428,126611.11653485463,125424.67306731506
1970-01-08 04:15:00,125343,133263.25,124768.0,132059.43671370207,131950.9028952404,131010.77019482537,125457.11195366977,126404.38736112788
1970-01-08 04:30:00,118579,127297.75,112651.0,129600.77063594588,117395.27949267525,125186.44859633809,115535.48757165858,126964.24881791176
1970-01-08 04:45:00,114837,122277.5,117207.0,125795.59681571709,116069.95891312846,117975.93835138304,118227.34598322446,127090.18389855907
1970-01-08 05:00:00,153167,120108.75,153375.0,122839.68028923232,148001.2994516905,118026.87818423109,148053.3349612919,126903.2882189458
1970-01-08 05:15:00,119349,127981.5,124349.0,125439.03424944394,128058.92080797163,125534.61201291216,125353.70065237164,126711.8114488344
1970-01-08 05:30:00,123213,126483.0,124637.0,125954.43004919044,119079.56709042027,120385.58594535122,126520.17590023809,126311.5664308919
1970-01-08 05:45:00,122660,127641.5,119499.0,126850.8311371518,122902.33906371973,118025.63864677532,120404.34575796511,125812.19706113232
1970-01-08 06:00:00,112728,129597.25,125092.0,128325.46068980574,128851.8690855607,129383.1801732168,123997.8258429152,125269.78990242444
1970-01-08 06:15:00,118433,119487.5,121609.0,123883.10483984704,120300.89176942609,119508.4648762978,116432.17284357002,124322.02156919175
1970-01-08 06:30:00,120516,119258.5,117230.0,121583.63048516357,112359.70178643269,115590.16877513532,114103.19029857568,123308.65622299055
1970-01-08 06:45:00,117510,118584.25,110389.0,120084.13262243824,109723.061829221,117795.9861925508,111176.01732676895,122187.68430649849
1970-01-08 07:00:00,132869,117296.75,132054.0,118682.5789085172,132712.18245226698,116818.93070006336,129945.4744987947,120980.6005040446
1970-01-08 07:15:00,128815,122332.0,126670.0,120469.93361560664,133391.86409231293,118031.46467709244,128292.09700617864,119909.38128802329
1970-01-08 07:30:00,110647,124927.5,110836.0,122680.03888847731,114789.44678134922,119816.58175674734,114306.3159218144,118860.6346746868
1970-01-08 07:45:00,102103,122460.25,107572.0,122584.84418308565,109105.0250100645,118101.00900624842,109245.19518202162,117781.72572303878
1970-01-08 08:00:00,118858,118608.5,127195.0,120594.68300130332,117156.23685028411,119045.2594648894,123881.12489307484,116581.76246372532
1970-01-08 08:15:00,106921,115105.75,111985.0,117895.12918084352,100293.57168582076,118255.8156560794,108853.3928753883,115332.12247715984
1970-01-08 08:30:00,103590,109632.25,109203.0,113812.396694793,97838.6341356773,110534.7197054478,104723.61147646338,114016.6771695282
1970-01-08 08:45:00,100338,107868.0,101572.0,110876.60896674356,90848.04576252357,106658.04053341856,98185.21954041527,112706.58742701163
1970-01-08 09:00:00,127613,107426.75,131025.0,109187.42701788216,115064.63168012473,111352.20019341185,124160.51990082025,111460.08976572043
1970-01-08 09:15:00,110530,109615.5,109614.0,109378.22024425364,102424.99749825668,112021.1622921476,105331.46495167931,110330.15491450788
1970-01-08 09:30:00,108259,110517.75,113880.0,109916.55183178945,106049.40341840524,107901.5577659702,110151.42848031213,109289.0138446491
1970-01-08 09:45:00,104546,111685.0,106609.0,110762.10275080922,100562.33607218481,107760.45490944604,104253.13593270542,108353.9206898566
1970-01-08 10:00:00,122321,112737.0,116310.0,111745.99577792422,111687.42942968795,115808.1440386072,113393.66878214544,107576.86353412112
1970-01-08 10:15:00,104165,111414.0,109326.0,111553.29413908542,104713.85241971746,113253.54648432846,109212.28939964784,106831.50328890551
1970-01-08 10:30:00,105848,109822.75,104614.0,110707.79977420867,105287.22072807736,107741.47439389514,103916.8815254532,106152.22366285964
1970-01-08 10:45:00,105938,109220.0,99888.0,109991.93012456108,102401.45355476126,107949.08035080548,100990.49977670104,105541.32258197428
1970-01-08 11:00:00,118425,109568.0,112827.0,109801.2672103227,112581.37234724547,114074.71594933416,113666.06763043128,105001.83655952114
1970-01-08 11:15:00,113822,108594.0,106967.0,109225.4288269804,112975.77911009733,109879.48303294965,108595.08359866812,104555.08254974843
1970-01-08 11:30:00,110552,111008.25,106338.0,110075.79306555324,111695.29827380553,108015.405556568,110920.80680090676,104243.16355969108
1970-01-08 11:45:00,102836,112184.25,105964.0,111081.47798940216,118749.78693007783,110236.453477939,111289.64840887468,104066.53337681848
1970-01-08 12:00:00,108870,111408.75,111045.0,111241.0549406033,114280.06789845652,113650.78243651724,113873.33187842672,103961.38686673144
1970-01-08 12:15:00,104350,109020.0,103965.0,110183.39150171891,106304.55746127272,110881.63454586176,114932.76907399314,103872.53861360312
1970-01-08 12:30:00,108216,106652.0,100895.0,108500.691262468,103616.09138498688,107766.23463724124,107807.50711238246,103800.42509323936
1970-01-08 12:45:00,101577,106068.0,96772.0,107342.53304413476,101826.8409934755,107048.4461510235,102291.36281309904,103776.43579970764
1970-01-08 13:00:00,116809,105753.25,103225.0,106585.53119052752,110675.8310839668,108450.65774869916,108743.62665149289,103838.86474416892
1970-01-08 13:15:00,119327,107738.0,100771.0,107136.66848396076,108368.5987756404,108686.34655658688,107362.74696201432,104017.4519469777
1970-01-08 13:30:00,106948,111482.25,102740.0,109220.00196266524,110932.6434823137,110281.38272292368,112836.83699322536,104355.26477731115
1970-01-08 13:45:00,102761,111165.25,105616.0,110153.17521336906,115718.0206908824,108679.21645917352,114275.27410221905,104701.9223974716
1970-01-08 14:00:00,112433,111461.25,111065.0,110780.08556962114,118008.85428892296,111816.1768735812,117618.18066055828,105042.57612039609
1970-01-08 14:15:00,111610,110367.25,107875.0,110587.5221303512,115450.21991074963,113300.93987647282,113035.74083375189,105444.79710778291
1970-01-08 14:30:00,112179,108438.0,108070.0,109557.48064065636,113147.54235966323,109114.52592340704,109114.84799345928,105803.9511411976
1970-01-08 14:45:00,110317,109745.75,105397.0,109643.64039586169,110705.58662184255,107675.90448131328,107392.70405003356,106220.50989795868
1970-01-08 15:00:00,116310,111634.75,111950.0,110591.61700946768,115950.0407832211,111901.8049585776,115650.32066047228,106678.8569845876
1970-01-08 15:15:00,115360,112604.0,108981.0,111549.74053365368,110215.35003671999,113237.83484826596,113056.11892241555,107105.00639487935
1970-01-08 15:30:00,107913,113541.5,107883.0,112498.02711641983,109090.8196349135,111928.61183380111,112999.99891028724,107630.24216308462
1970-01-08 15:45:00,110664,112475.0,110849.0,112488.94770555288,107272.61547342062,110608.24419484784,113779.25138369792,108145.31270664636
1970-01-08 16:00:00,110239,112561.75,112355.0,112523.67270692754,115539.76656055213,113228.29605750128,114421.85588048308,108663.18669238774
1970-01-08 16:15:00,107627,111044.0,112673.0,111817.90323671629,113975.57215287053,112711.51436780451,113217.79517252832,109196.10684064867
1970-01-08 16:30:00,103236,109110.75,109304.0,110526.65409985464,113163.41191453647,109041.03915341094,107162.81032194804,109645.91252979686
1970-01-08 16:45:00,106589,107941.5,108404.0,109293.59571408675,105593.93750206403,108660.28818158848,104550.2708171618,110087.10008710805
1970-01-08 17:00:00,123672,106922.75,114781.0,108162.75744441422,111389.66534142492,109703.60469958636,111879.35595383355,110569.8578542202
1970-01-08 17:15:00,118698,110281.0,110083.0,109173.10988197384,113391.09396231419,110926.33183002114,113711.8422500234,111119.32596507305
1970-01-08 17:30:00,137099,113048.75,122678.0,111021.7000871068,120125.6424423632,109873.30159081976,124160.81939724114,111763.60648218398
1970-01-08 17:45:00,127089,121514.5,118029.0,116026.52162695426,119098.77607111848,115134.71530593194,125335.85065132394,112697.64786947436
1970-01-08 18:00:00,127897,126639.5,113192.0,121088.66549744652,123625.48176884362,121587.03731763414,124255.7379714812,113705.0010409357
