date,t,LASTOBSERVED,LASTDAY,SimpleExpSmoothing,ExpSmoothing,ARIMA,SARIMA,Prophet
2019-07-18 01:10:00,107576,109427.0,114664.0,108510.00854925832,108587.50529615811,109028.91605268796,109645.28220289997,106331.43728828912
2019-07-18 01:15:00,110923,107576.0,106671.0,108139.77190455812,108697.3170325376,108767.98453760364,108068.5,106574.41197500288
2019-07-18 01:20:00,111819,110923.0,109803.0,109243.03057634432,109898.1752529147,109566.79049312152,107588.31244149982,106825.55088236392
2019-07-18 01:25:00,113159,111819.0,113141.0,110264.1328746283,110310.50242821508,110257.16948702816,108101.46057210614,107066.33792423844
2019-07-18 01:30:00,108446,113159.0,112670.0,111411.64473862738,111424.47003164416,111498.28207223184,109005.75,107292.95097146044
2019-07-18 01:35:00,108249,108446.0,110469.0,110236.07695793196,110647.98407270806,111052.42538289746,110200.69897102936,107499.59632573536
2019-07-18 01:40:00,110826,108249.0,106560.0,109448.40889402611,109802.54242509216,110695.46119381551,111545.06270643284,107669.17301460353
2019-07-18 01:45:00,113972,110826.0,113738.0,109994.47960103369,111252.85860294967,110623.40090384126,112192.5,107845.1235848506
2019-07-18 01:50:00,111758,113972.0,115002.0,111571.15018708904,112180.14667182953,111748.28390518027,111999.07247575754,107997.97138438043
2019-07-18 01:55:00,115221,111758.0,110886.0,111645.21658385804,110846.07580975034,111977.65941308014,111174.39590610834,108122.91665051684
2019-07-18 02:00:00,109493,115221.0,111241.0,113062.64049846596,113355.5789758185,113212.52299060018,110957.5,108232.11049498434
2019-07-18 02:05:00,114101,109493.0,111004.0,111647.6516078531,111984.23507940929,112541.72125190705,111559.4345601452,108303.11549693171
2019-07-18 02:10:00,114229,114101.0,112966.0,112620.1474995774,112161.14036923752,113272.84645830563,112740.54033111116,108372.74182625089
2019-07-18 02:15:00,110296,114229.0,113513.0,113257.88914771006,113955.17125272207,113545.53288785544,113090.75,108422.66287585712
2019-07-18 02:20:00,111270,110296.0,112181.0,112087.12825897898,111256.73526359379,113285.44843630271,112369.98100457915,108410.1461953616
2019-07-18 02:25:00,113348,111270.0,111570.0,111765.51477572924,112081.42181143393,112663.050084041,110825.37207992168,108385.24821110956
2019-07-18 02:30:00,107136,113348.0,111847.0,112390.21193449596,111518.49134457069,112999.97190586288,109909.25,108360.11882741992
2019-07-18 02:35:00,114464,107136.0,109137.0,110307.4667618568,110512.41952379933,111498.97989671204,109868.56292099332,108264.4588653974
2019-07-18 02:40:00,110100,114464.0,108893.0,111955.09720474404,112791.80276216296,112186.34669654338,110503.43430383956,108215.8428201742
2019-07-18 02:45:00,112518,110100.0,109187.0,111219.7453011426,110252.88920731579,111479.24015362264,110643.75,108070.3423941196
2019-07-18 02:50:00,112797,112518.0,113880.0,111734.36742537572,111688.41010664105,111935.83802617576,110090.09412332535,107932.61842203668
2019-07-18 02:55:00,107917,112797.0,108013.0,112155.59003547966,111532.35246882448,111852.242559845,109026.15061991036,107776.01833438464
2019-07-18 03:00:00,112267,107917.0,109400.0,110475.4326597878,110413.76304367768,111173.42418519424,108528.0,107564.58100628806
2019-07-18 03:05:00,110707,112267.0,104581.0,111185.60162057656,110090.85741365627,111011.49522049467,108778.7128564994,107402.0145631104
2019-07-18 03:10:00,111479,110707.0,110544.0,110995.88616423403,110442.98705069888,110995.71659768515,109603.760260948,107174.40962188553
2019-07-18 03:15:00,108059,111479.0,110437.0,111187.39024169056,110709.9642097949,110939.29150504804,109977.75,106925.3361084392
2019-07-18 03:20:00,111470,108059.0,109009.0,109947.31090053672,109801.82162711401,110214.10740308397,109727.22486130874,106649.61532931704
2019-07-18 03:25:00,108223,111470.0,107598.0,110550.89777728912,109085.82270326186,110260.67936210523,108937.4464538668,106375.65039802332
